frame,time_s,X,Y,Z,reproj_err,conf_cam1,conf_cam2
5,0.0858675213675213,-0.03246478788757659,-0.06885766178376598,-0.7282606564856658,0.3980497898269423,0.5594972372055054,0.5594972372055054
7,0.1202145299145299,-0.17408426027087562,-0.056002376315018414,-1.4247840152527642,0.2362606379613918,0.7918657064437866,0.7918657064437866
8,0.1373880341880342,-0.29107251299413284,-0.046140331602327625,-2.001737958318453,0.19190576538704968,0.670048713684082,0.670048713684082
18,0.3091230769230769,-0.11327301655229083,-0.09608143375871028,-1.089189118534557,0.10103860505117386,0.6141359210014343,0.6141359210014343
22,0.377817094017094,-0.004770335460829083,-0.12211728795600095,-0.534512968823447,0.368417194763967,0.7404990792274475,0.7404990792274475
23,0.3949905982905983,-0.002634874484422326,-0.12289872765414273,-0.5198956438732902,0.39464304281406676,0.7392906546592712,0.7392906546592712
24,0.4121641025641026,-0.007416243711652198,-0.12095811588402706,-0.5396827130604754,0.379866506682091,0.813483715057373,0.813483715057373
30,0.5152051282051282,-0.07203273986091341,-0.10422520667516413,-0.8271592376008716,0.27536204193745034,0.6999047994613647,0.6999047994613647
33,0.566725641025641,-0.2183091867280806,-0.08822982228743752,-1.5248796909964484,0.20978298760002867,0.7772231101989746,0.7772231101989746
34,0.5838991452991453,-0.3560874015936298,-0.07796399741059763,-2.190683732591287,0.19567411006021324,0.8660705089569092,0.8660705089569092
37,0.6354196581196582,0.35408179800991335,-0.11933276754692447,1.2917837928795772,0.174508157722971,0.8827840089797974,0.8827840089797974
37,0.6354196581196582,0.3633526251855339,-0.1287203795665893,1.3306330168031217,0.18048834252009077,0.8827840089797974,0.7091080546379089
37,0.6354196581196582,0.35342029815744436,-0.1118300667726338,1.2939077051862278,0.1811435115278269,0.7091080546379089,0.8827840089797974
37,0.6354196581196582,0.3620493616097238,-0.12096152708815872,1.3297914504369164,0.18727488822619315,0.7091080546379089,0.7091080546379089
38,0.6525931623931625,0.2894192272289546,-0.11318246292384322,0.9838966886775328,0.17681018724369138,0.6114640235900879,0.6114640235900879
40,0.6869401709401709,0.24002864631179172,-0.10689549821884828,0.754892679247481,0.17251252122732014,0.5513748526573181,0.5513748526573181
43,0.7384606837606837,0.18966767048122063,-0.0984433199053279,0.5309300670584044,0.16598513311266838,0.7605737447738647,0.7605737447738647
50,0.8586752136752137,0.14158426267212243,-0.08608977637840055,0.3275640615072857,0.14713601957134226,0.5262181758880615,0.5262181758880615
